"ID","lugar_emplazamiento_propiedad","denominacion","espacio_de_memoria","ubicacion","lon","lat"
670,"POLICÍA PROVINCIAL","DIVISIÓN CUATRERISMO (BRIGADA ""GÜEMES"")",FALSE,"Autopista RICCHIERI (a 400 m de Camino de Cintura) · CIUDAD EVITA · LA MATANZA · BUENOS AIRES DIVISIÓN CUATRERISMO (AGRUPACIÓN ""GÜEMES"")",-58.284482,-34.7758363
672,"POLICÍA PROVINCIAL","COMISARÍA 1ª DE MERLO",FALSE,"Av. DEL LIBERTADOR 368 · MERLO · BUENOS AIRES",-58.7252989,-34.6704713
675,"ESTABLECIMIENTO PRIVADO","MANSIÓN GÜERCHI",FALSE,"MITRE 560 · ZÁRATE · BUENOS AIRES",-59.0173049,-34.1018019
676,"ESTABLECIMIENTO PRIVADO","EX PLANTA METALÚRGICA ABANDONADA",FALSE,"Av. 12 DE OCTUBRE y Av. LA PLATA · QUILMES · BUENOS AIRES",-58.2776071,-34.7366073
677,"PARTICULAR (VIVIENDA O SIMILAR)","ESTANCIA ""LA POLACA""",FALSE,"A orillas de Río Uruguay (frente a Isla Pacú) · PALMAR · PASO DE LOS LIBRES · CORRIENTES",-57.0855601,-29.7137101
678,"FUERZA AÉREA","REGIONAL DE INTELIGENCIA ""BUENOS AIRES"" (RIBA)",FALSE,"GRAL. JOSÉ DE SAN MARTÍN 784 (entre ENTRE RÍOS y Pje. JUAN ESNAOLA) · MORÓN · BUENOS AIRES",-58.622662,-34.6568462
680,"FUERZA AÉREA","BRIGADA AÉREA IV ""EL PLUMERILLO""",FALSE,"Av. FUERZA AÉREA Km 7/500 · EL PLUMERILLO · LAS HERAS · MENDOZA",-68.7714556,-32.8331083
681,"POLICÍA PROVINCIAL","COMISARÍA 2ª DE PARANÁ",FALSE,"RÍO GUALEGUAYCHÚ 280 · PARANÁ · ENTRE RÍOS",-60.4803685,-31.7564515
687,"ESTABLECIMIENTO EDUCATIVO","COLEGIO NACIONAL DE CONCEPCIÓN",FALSE,"CONCEPCIÓN · CHICLIGASTA · TUCUMÁN",-65.5883464,-27.3453363
688,"POLICÍA PROVINCIAL","COMANDO RADIOELÉCTRICO DE SAN JUAN",FALSE,"GRAL. ACHA esq. A. GÓMEZ · SAN JUAN · CAPITAL · SAN JUAN",-68.516176,-31.5962012
689,"POLICÍA PROVINCIAL","COMISARÍA 4ª DE QUILMES (SAN FRANCISCO SOLANO)",FALSE,"Calle 845 (M. PALANCA) Nº 2227 · SAN FRANCISCO SOLANO · QUILMES · BUENOS AIRES",-58.2940496,-34.7706204
690,"POLICÍA PROVINCIAL","COMISARÍA 4ª DE SAN JUAN",FALSE,"PAULA ALBARRACÍN DE SARMIENTO (N) 38 · SAN JUAN · CAPITAL · SAN JUAN",-68.5539271,-31.5306192
691,"POLICÍA PROVINCIAL","COMISARÍA DE FAMAILLÁ",FALSE,"SARMIENTO 295 · FAMAILLÁ · TUCUMÁN",-65.4030946,-27.0545143
692,"POLICÍA PROVINCIAL","COMISARÍA DE LAS CEJAS",FALSE,"25 DE MAYO s/nº · LAS CEJAS · CRUZ ALTA · TUCUMÁN",-64.7424682,-26.8896396
693,"POLICÍA PROVINCIAL","COMISARÍA 5ª DE MAR DEL PLATA",FALSE,"PUAN 2251 (dirección actual) · MAR DEL PLATA · GRAL. PUEYRREDÓN · BUENOS AIRES",-57.5521928,-38.0620106
694,"POLICÍA PROVINCIAL","COMISARÍA DE VILLA QUINTEROS",FALSE,"JARDÍN DE LA REPÚBLICA s/nº · VILLA QUINTEROS · MONTEROS · TUCUMÁN",-65.5484676,-27.2549927
696,"POLICÍA FEDERAL","DELEGACIÓN ""SAN MARTÍN"" DE LA POLICÍA FEDERAL",FALSE,"GRAL. SAN MARTÍN · BUENOS AIRES",-58.56581,-34.5605065
699,"ESTABLECIMIENTO EDUCATIVO","ESCUELA DE GARCÍA FERNÁNDEZ",FALSE,"MANUEL GARCÍA FERNÁNDEZ · LEALES · TUCUMÁN",-65.2719001,-26.9557511
700,"ESTATAL","EX ESTACIÓN DEL FERROCARRIL PROVINCIAL",FALSE,"Av. GÜEMES y ESCALADA · AZUL · BUENOS AIRES                                                                     PLANTA VERIFICADORA DE AUTOMOTORES DEL EJÉRCITO",-59.8766935,-36.7736787
701,"POLICÍA PROVINCIAL","JEFATURA DE POLICÍA DE TOSTADO",FALSE,"SAN MARTÍN 1563 · TOSTADO · 9 DE JULIO · SANTA FE",-61.7717196,-29.229162
702,"SIN ESTABLECER PROPIEDAD","LA CASITA DE LA BASE",FALSE,"Construcción en terreno lindante a los fondos de la Brigada Aérea II · PARANÁ · ENTRE RÍOS",-60.4723344,-31.7803058
705,"EJÉRCITO","BASE MILITAR EN POTRERO DE LAS TABLAS",FALSE,"POTRERO DE LAS TABLAS · LULES · TUCUMÁN",-65.4499969,-26.8999996
706,"SIN ESTABLECER PROPIEDAD","CASA EN SAN JOSÉ DEL RINCÓN",FALSE,"Villa California · SAN JOSÉ DEL RINCÓN · LA CAPITAL · SANTA FE",-60.585684,-31.6139448
708,"ESTATAL","USINA DE AGUA Y ENERGÍA",FALSE,"LULES · TUCUMÁN",-65.337851,-26.9255515
709,"POLICÍA PROVINCIAL (PREDIO)","CASA DE LOS MURCIÉLAGOS",FALSE,"GOYA · CORRIENTES",-59.2643242,-29.1442242
710,"EJÉRCITO","CASA FRENTE A CUADRO NACIONAL (SECCIÓN INTELIGENCIA)",FALSE,"Av. MITRE 4890 (Ruta Nac. Nº 146 Km 387/500) · CUADRO NACIONAL · SAN RAFAEL · MENDOZA",-68.3081423,-34.6235175
711,"EJÉRCITO","DESTACAMENTO DE INTELIGENCIA 124",FALSE,"JUNÍN y SARMIENTO · POSADAS · CAPITAL · MISIONES",-55.8975618,-27.3646885
712,"FUERZA AÉREA","BRIGADA AÉREA VIII ""MARIANO MORENO""                                                                                                      UNIDAD DE COMANDO ÁREA 162",FALSE,"Av. SANTIAGO DERQUI entre GRAL. LAVALLE y BARTOLOMÉ HIDALGO · CUARTEL V · MORENO · BUENOS AIRES",-58.3654102,-34.6621493
713,"HOSPITAL MILITAR (ARMADA)","HOSPITAL NAVAL ""BUENOS AIRES""",FALSE,"JUAN B. AMBROSETTI 699 · Caballito · CAPITAL FEDERAL",-58.438112,-34.610597
714,"SIN ESTABLECER PROPIEDAD","CASA-QUINTA 1 (CERCANA A CAMPO DE MAYO)",FALSE,"Ruta Nac. Nº 8 _ entrada a 100 m de · SAN MIGUEL (ex partido de GRAL. SARMIENTO) · BUENOS AIRES",-58.6809548,-34.4708617
