"","ID","lugar_emplazamiento_propiedad","denominacion","espacio_de_memoria","ubicacion","lon","lat"
"592",1054,"POLICÍA PROVINCIAL","DESTACAMENTO DE GDOR. CASTRO",FALSE,"SAN JUAN s/nº · GDOR. CASTRO · SAN PEDRO · BUENOS AIRES",-59.8685346,-33.6589312
"593",1055,"POLICÍA FEDERAL","COMISARÍA 24ª DE CAPITAL FEDERAL",FALSE,"PINZÓN 456 · La Boca · CAPITAL FEDERAL",-58.3605267,-34.6341535
"594",1056,"POLICÍA FEDERAL","COMISARÍA 31ª DE CAPITAL FEDERAL",FALSE,"Av. CABILDO 232 · Palermo · CAPITAL FEDERAL",-58.439275,-34.5733708
"595",1057,"POLICÍA FEDERAL","COMISARÍA 28ª DE CAPITAL FEDERAL",FALSE,"Av. VÉLEZ SARSFIELD 170 · Barracas · CAPITAL FEDERAL",-58.3900086,-34.6361258
"596",1058,"POLICÍA FEDERAL","COMISARÍA 30ª DE CAPITAL FEDERAL",FALSE,"GRAL. HORNOS 768 (o CALIFORNIA 1850 o sobre Av. IRIARTE) · Barracas · CAPITAL FEDERAL",-58.3766747,-34.6359048
"597",1059,"POLICÍA PROVINCIAL","COMISARÍA DE AYACUCHO",FALSE,"AYACUCHO · BUENOS AIRES",-58.4829712,-37.1502686
"598",1060,"EJÉRCITO (PREDIO MILITAR)","RODEO DEL ALTO (PREDIO CÍRCULO DE SUBOFICIALES DEL EJÉRCITO)",FALSE,"Ruta Prov. Nº 20 (Camino a Juana Koslay) · SAN LUIS · LA CAPITAL · SAN LUIS",-66.2584914,-33.2863356
"599",1061,"POLICÍA PROVINCIAL","COMISARÍA 8ª DE SANTIAGO DEL ESTERO",FALSE,"Av. AGUIRRE (S) 790 · SANTIAGO DEL ESTERO · CAPITAL · SANTIAGO DEL ESTERO",-64.265781,-27.8112697
"600",1062,"GENDARMERÍA NACIONAL","ESCUADRÓN 20 ""ORÁN"" DE GENDARMERÍA NACIONAL",FALSE,"MISIÓN ZENTA s/nº · SAN RAMÓN DE LA NUEVA ORÁN · ORÁN · SALTA",-64.318462,-23.1382409
"601",1063,"PARTICULAR (VIVIENDA O SIMILAR)","CASA OPERATIVA EN CALLE BACACAY",FALSE,"BACACAY 4232 · Vélez Sarsfield · CAPITAL FEDERAL",-58.4868557,-34.6327508
"602",1064,"SERVICIO PENITENCIARIO PROVINCIAL (PREDIO)","QUINCHO DEL ARROYO ZAIMÁN",FALSE,"Av. CABO DE HORNOS (detrás de Cárcel de Encausados) · Miguel Lanús · POSADAS · CAPITAL · MISIONES",-55.9152037,-27.4275801
"603",1065,"HOSPITAL PÚBLICO","HOSPITAL ""DR. RAMÓN MADARIAGA""",FALSE,"Av. LÓPEZ TORRES 1177 · POSADAS · CAPITAL · MISIONES",-55.893275,-27.3904941
"604",1066,"PREFECTURA NAVAL","DESTACAMENTO SANTA ANA DE PREFECTURA",FALSE,"SANTA ANA · CANDELARIA · MISIONES",-55.5817447,-27.3692482
"605",1067,"POLICÍA PROVINCIAL","DESTACAMENTO POLICIAL DE SANTA INÉS",FALSE,"Sobre Ruta Nac. Nº 105 (frente al ingreso del Establecimiento de la familia Núñez) · SANTA INÉS · CAPITAL · MISIONES",-55.858341,-27.527567
"606",1068,"POLICÍA PROVINCIAL","DESTACAMENTO POLICIAL ""PINDAYTÍ""",FALSE,"Colonia Pindaytí · ARISTÓBULO DEL VALLE · CAINGUÁS · MISIONES",-54.6868086,-27.3120972
"607",1069,"PARTICULAR (VIVIENDA O SIMILAR)","LA INTERMEDIA",FALSE,"Autopista Rosario-Santa Fe (frente a estación de servicio ACA) · Villa La Ribera · TIMBÚES · SAN LORENZO · SANTA FE",-60.8180591,-32.6376562
